event_name,event_id,competition_name,url
Colorado Rockies vs Philadelphia Phillies,23e0161c-2b9d-4108-9500-8914338ed079,MLB,https://www.neds.com.au/sports/baseball/usa/mlb/colorado-rockies-vs-philadelphia-phillies/23e0161c-2b9d-4108-9500-8914338ed079
New York Yankees vs Texas Rangers,323ceb6d-2a3f-417e-a840-6eae6c81554c,MLB,https://www.neds.com.au/sports/baseball/usa/mlb/new-york-yankees-vs-texas-rangers/323ceb6d-2a3f-417e-a840-6eae6c81554c
San Francisco Giants vs Kansas City Royals,54ad8e6e-bb39-48d9-943c-23d0ee691942,MLB,https://www.neds.com.au/sports/baseball/usa/mlb/san-francisco-giants-vs-kansas-city-royals/54ad8e6e-bb39-48d9-943c-23d0ee691942
St. Louis Cardinals vs Detroit Tigers,703bb340-7f29-4671-98f1-0429e6ff0ea1,MLB,https://www.neds.com.au/sports/baseball/usa/mlb/st.-louis-cardinals-vs-detroit-tigers/703bb340-7f29-4671-98f1-0429e6ff0ea1
Minnesota Twins vs Cleveland Guardians,7e353f83-147d-41a4-8ad2-9a0722127ab4,MLB,https://www.neds.com.au/sports/baseball/usa/mlb/minnesota-twins-vs-cleveland-guardians/7e353f83-147d-41a4-8ad2-9a0722127ab4
Athletics vs Los Angeles Angels,861232f0-279e-4f0a-a9c3-dc19b40a4131,MLB,https://www.neds.com.au/sports/baseball/usa/mlb/athletics-vs-los-angeles-angels/861232f0-279e-4f0a-a9c3-dc19b40a4131
Miami Marlins vs Chicago Cubs,97f06904-b903-4dce-b358-b76f632c6ee0,MLB,https://www.neds.com.au/sports/baseball/usa/mlb/miami-marlins-vs-chicago-cubs/97f06904-b903-4dce-b358-b76f632c6ee0
Los Angeles Dodgers vs Arizona Diamondbacks,9fcc7dca-9673-4926-9488-397d87313a74,MLB,https://www.neds.com.au/sports/baseball/usa/mlb/los-angeles-dodgers-vs-arizona-diamondbacks/9fcc7dca-9673-4926-9488-397d87313a74
Los Angeles Dodgers vs Arizona Diamondbacks,c9882b4e-6e06-4838-9b05-06eeda2a1f48,MLB,https://www.neds.com.au/sports/baseball/usa/mlb/los-angeles-dodgers-vs-arizona-diamondbacks/c9882b4e-6e06-4838-9b05-06eeda2a1f48
San Francisco Giants vs Kansas City Royals,f24e8bf6-2243-47af-8f1f-ad51832e4a9a,MLB,https://www.neds.com.au/sports/baseball/usa/mlb/san-francisco-giants-vs-kansas-city-royals/f24e8bf6-2243-47af-8f1f-ad51832e4a9a
Athletics vs Los Angeles Angels,f32dca5d-9dc8-4b18-8be5-24e2dc63c69a,MLB,https://www.neds.com.au/sports/baseball/usa/mlb/athletics-vs-los-angeles-angels/f32dca5d-9dc8-4b18-8be5-24e2dc63c69a
Pittsburgh Pirates vs Cincinnati Reds,f45b6fd4-3e76-43df-aec9-3b5d9becfbb2,MLB,https://www.neds.com.au/sports/baseball/usa/mlb/pittsburgh-pirates-vs-cincinnati-reds/f45b6fd4-3e76-43df-aec9-3b5d9becfbb2
