match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Bryan Reynolds,Pittsburgh Pirates,0.5,2.6,NA,Pointsbet,Chicago Cubs,2427615,95661046,1
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Bryan Reynolds,Pittsburgh Pirates,1.5,6,NA,Pointsbet,Chicago Cubs,2427615,95661046,2
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Bryan Reynolds,Pittsburgh Pirates,2.5,15,NA,Pointsbet,Chicago Cubs,2427615,95661046,3
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Jared Triolo,Pittsburgh Pirates,0.5,3.1,NA,Pointsbet,Chicago Cubs,2427615,95661046,7
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Jared Triolo,Pittsburgh Pirates,1.5,8.5,NA,Pointsbet,Chicago Cubs,2427615,95661046,8
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Andrew Mccutchen,NA,0.5,2.75,NA,Pointsbet,NA,2427615,95661046,13
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Andrew Mccutchen,NA,1.5,6.5,NA,Pointsbet,NA,2427615,95661046,14
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Andrew Mccutchen,NA,2.5,13,NA,Pointsbet,NA,2427615,95661046,15
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Tommy Pham,Pittsburgh Pirates,0.5,2.6,NA,Pointsbet,Chicago Cubs,2427615,95661046,19
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Tommy Pham,Pittsburgh Pirates,1.5,6.5,NA,Pointsbet,Chicago Cubs,2427615,95661046,20
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Tommy Pham,Pittsburgh Pirates,2.5,15,NA,Pointsbet,Chicago Cubs,2427615,95661046,21
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Nick Gonzales,NA,0.5,2.9,NA,Pointsbet,NA,2427615,95661046,37
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Nick Gonzales,NA,1.5,7,NA,Pointsbet,NA,2427615,95661046,38
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Nick Gonzales,NA,2.5,16,NA,Pointsbet,NA,2427615,95661046,39
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Nico Hoerner,Chicago Cubs,0.5,2.9,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,43
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Nico Hoerner,Chicago Cubs,1.5,8,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,44
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Pete Crow-Armstrong,Chicago Cubs,0.5,2.55,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,49
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Pete Crow-Armstrong,Chicago Cubs,1.5,5.25,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,50
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Pete Crow-Armstrong,Chicago Cubs,2.5,11,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,51
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Matt Shaw,Chicago Cubs,0.5,3.25,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,55
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Matt Shaw,Chicago Cubs,1.5,8,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,56
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Matt Shaw,Chicago Cubs,2.5,17,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,57
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Dansby Swanson,Chicago Cubs,0.5,2.9,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,61
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Dansby Swanson,Chicago Cubs,1.5,7,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,62
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Dansby Swanson,Chicago Cubs,2.5,16,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,63
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Ian Happ,Chicago Cubs,0.5,2.4,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,67
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Ian Happ,Chicago Cubs,1.5,5.25,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,68
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Ian Happ,Chicago Cubs,2.5,12,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,69
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Carson Kelly,Chicago Cubs,0.5,2.75,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,73
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Carson Kelly,Chicago Cubs,1.5,6.5,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,74
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Carson Kelly,Chicago Cubs,2.5,15,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,75
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Moises Ballesteros,NA,0.5,2.5,NA,Pointsbet,NA,2427615,95661046,79
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Moises Ballesteros,NA,1.5,5,NA,Pointsbet,NA,2427615,95661046,80
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Moises Ballesteros,NA,2.5,11,NA,Pointsbet,NA,2427615,95661046,81
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Mike Busch,NA,0.5,2.55,NA,Pointsbet,NA,2427615,95661046,85
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Mike Busch,NA,1.5,5.75,NA,Pointsbet,NA,2427615,95661046,86
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Mike Busch,NA,2.5,11,NA,Pointsbet,NA,2427615,95661046,87
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Spencer Horwitz,Pittsburgh Pirates,0.5,2.75,NA,Pointsbet,Chicago Cubs,2427615,95661046,91
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Spencer Horwitz,Pittsburgh Pirates,1.5,7,NA,Pointsbet,Chicago Cubs,2427615,95661046,92
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Spencer Horwitz,Pittsburgh Pirates,2.5,15,NA,Pointsbet,Chicago Cubs,2427615,95661046,93
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Jack Suwinski,NA,0.5,3,NA,Pointsbet,NA,2427615,95661046,97
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Jack Suwinski,NA,1.5,7,NA,Pointsbet,NA,2427615,95661046,98
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Jack Suwinski,NA,2.5,13,NA,Pointsbet,NA,2427615,95661046,99
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Willi Castro,Minnesota Twins,0.5,3,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,103
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Willi Castro,Minnesota Twins,1.5,8,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,104
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Willi Castro,Minnesota Twins,2.5,16,NA,Pointsbet,Pittsburgh Pirates,2427615,95661046,105
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Nick Yorke,NA,0.5,3.25,NA,Pointsbet,NA,2427615,95661046,109
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Nick Yorke,NA,1.5,8.5,NA,Pointsbet,NA,2427615,95661046,110
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Joey Bart,NA,0.5,3.1,NA,Pointsbet,NA,2427615,95661046,115
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Joey Bart,NA,1.5,8.5,NA,Pointsbet,NA,2427615,95661046,116
Pittsburgh Pirates v Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Batter RBIs,Joey Bart,NA,2.5,16,NA,Pointsbet,NA,2427615,95661046,117
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Luis Garcia,NA,0.5,2.6,NA,Pointsbet,NA,2427619,95668109,1
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Luis Garcia,NA,1.5,5.75,NA,Pointsbet,NA,2427619,95668109,2
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Luis Garcia,NA,2.5,13,NA,Pointsbet,NA,2427619,95668109,3
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Dylan Crews,NA,0.5,3,NA,Pointsbet,NA,2427619,95668109,7
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Dylan Crews,NA,1.5,8,NA,Pointsbet,NA,2427619,95668109,8
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Dylan Crews,NA,2.5,16,NA,Pointsbet,NA,2427619,95668109,9
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Cj Abrams,NA,0.5,2.75,NA,Pointsbet,NA,2427619,95668109,13
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Cj Abrams,NA,1.5,7,NA,Pointsbet,NA,2427619,95668109,14
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Cj Abrams,NA,2.5,15,NA,Pointsbet,NA,2427619,95668109,15
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Josh Bell,Washington Nationals,0.5,2.5,NA,Pointsbet,Atlanta Braves,2427619,95668109,19
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Josh Bell,Washington Nationals,1.5,5,NA,Pointsbet,Atlanta Braves,2427619,95668109,20
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Josh Bell,Washington Nationals,2.5,11,NA,Pointsbet,Atlanta Braves,2427619,95668109,21
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,James Wood,Washington Nationals,0.5,2.75,NA,Pointsbet,Atlanta Braves,2427619,95668109,25
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,James Wood,Washington Nationals,1.5,6,NA,Pointsbet,Atlanta Braves,2427619,95668109,26
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,James Wood,Washington Nationals,2.5,13,NA,Pointsbet,Atlanta Braves,2427619,95668109,27
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Daylen Lile,Washington Nationals,0.5,2.55,NA,Pointsbet,Atlanta Braves,2427619,95668109,31
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Daylen Lile,Washington Nationals,1.5,6.5,NA,Pointsbet,Atlanta Braves,2427619,95668109,32
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Daylen Lile,Washington Nationals,2.5,16,NA,Pointsbet,Atlanta Braves,2427619,95668109,33
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Robert Hassell Iii,NA,0.5,3.4,NA,Pointsbet,NA,2427619,95668109,43
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Robert Hassell Iii,NA,1.5,9,NA,Pointsbet,NA,2427619,95668109,44
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Ozzie Albies,Atlanta Braves,0.5,2.15,NA,Pointsbet,Washington Nationals,2427619,95668109,49
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Ozzie Albies,Atlanta Braves,1.5,4.2,NA,Pointsbet,Washington Nationals,2427619,95668109,50
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Ozzie Albies,Atlanta Braves,2.5,9,NA,Pointsbet,Washington Nationals,2427619,95668109,51
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Ozzie Albies,Atlanta Braves,3.5,16,NA,Pointsbet,Washington Nationals,2427619,95668109,52
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Jurickson Profar,NA,0.5,2.4,NA,Pointsbet,NA,2427619,95668109,55
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Jurickson Profar,NA,1.5,5.25,NA,Pointsbet,NA,2427619,95668109,56
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Jurickson Profar,NA,2.5,11,NA,Pointsbet,NA,2427619,95668109,57
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Ha-Seong Kim,NA,0.5,2.5,NA,Pointsbet,NA,2427619,95668109,61
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Ha-Seong Kim,NA,1.5,5,NA,Pointsbet,NA,2427619,95668109,62
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Ha-Seong Kim,NA,2.5,11,NA,Pointsbet,NA,2427619,95668109,63
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Ronald Acuna Jr.,Atlanta Braves,0.5,2.2,NA,Pointsbet,Washington Nationals,2427619,95668109,67
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Ronald Acuna Jr.,Atlanta Braves,1.5,4.4,NA,Pointsbet,Washington Nationals,2427619,95668109,68
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Ronald Acuna Jr.,Atlanta Braves,2.5,9.5,NA,Pointsbet,Washington Nationals,2427619,95668109,69
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Marcell Ozuna,Atlanta Braves,0.5,2.4,NA,Pointsbet,Washington Nationals,2427619,95668109,73
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Marcell Ozuna,Atlanta Braves,1.5,5,NA,Pointsbet,Washington Nationals,2427619,95668109,74
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,Batter RBIs,Marcell Ozuna,Atlanta Braves,2.5,11,NA,Pointsbet,Washington Nationals,2427619,95668109,75
